"Time (EpSec)","Lat (deg)","Lon (deg)","Alt (km)","Azimuth (deg)","Elevation (deg)","Velocity (km/sec)"
0.000,-12.171,-77.002,3.048000,156.491,0.000,0.180056
280.790,-12.590,-76.817,3.048000,156.451,-0.000,0.180056
561.580,-13.009,-76.631,3.048000,156.410,-0.000,0.180056
842.368,-13.427,-76.444,3.048000,156.368,0.000,0.180056
1123.148,-13.846,-76.256,3.048000,155.324,0.000,0.180056
1123.341,-13.846,-76.256,3.048000,154.324,-0.000,0.180056
1123.535,-13.846,-76.256,3.048000,152.324,0.000,0.180056
1123.729,-13.847,-76.256,3.048000,150.324,-0.000,0.180056
1123.923,-13.847,-76.256,3.048000,148.324,-0.000,0.180056
1124.117,-13.847,-76.256,3.048000,146.324,0.000,0.180056
1124.311,-13.847,-76.256,3.048000,144.324,-0.000,0.180056
1124.504,-13.848,-76.255,3.048000,142.324,0.000,0.180056
1124.698,-13.848,-76.255,3.048000,140.324,-0.000,0.180056
1124.892,-13.848,-76.255,3.048000,138.324,-0.000,0.180056
1125.086,-13.848,-76.255,3.048000,136.324,0.000,0.180056
1125.280,-13.849,-76.254,3.048000,134.324,-0.000,0.180056
1125.474,-13.849,-76.254,3.048000,132.324,-0.000,0.180056
1125.668,-13.849,-76.254,3.048000,130.324,-0.000,0.180056
1125.861,-13.849,-76.254,3.048000,128.323,0.000,0.180056
1126.055,-13.849,-76.253,3.048000,126.323,-0.000,0.180056
1126.249,-13.850,-76.253,3.048000,124.323,-0.000,0.180056
1126.443,-13.850,-76.253,3.048000,122.323,0.000,0.180056
1126.637,-13.850,-76.253,3.048000,120.323,0.000,0.180056
1126.831,-13.850,-76.252,3.048000,118.323,0.000,0.180056
1127.025,-13.850,-76.252,3.048000,116.323,-0.000,0.180056
1127.218,-13.850,-76.252,3.048000,114.323,0.000,0.180056
1127.365,-13.850,-76.252,3.048000,112.813,-0.000,0.180056
1448.477,-14.052,-75.758,3.048000,111.695,-0.000,0.180056
1448.671,-14.053,-75.758,3.048000,110.695,0.000,0.180056
1448.864,-14.053,-75.758,3.048000,108.694,0.000,0.180056
1449.058,-14.053,-75.757,3.048000,106.694,0.000,0.180056
1449.252,-14.053,-75.757,3.048000,104.694,0.000,0.180056
1449.446,-14.053,-75.757,3.048000,102.694,0.000,0.180056
1449.640,-14.053,-75.757,3.048000,100.694,-0.000,0.180056
1449.834,-14.053,-75.756,3.048000,98.694,0.000,0.180056
1450.028,-14.053,-75.756,3.048000,96.694,0.000,0.180056
1450.221,-14.053,-75.756,3.048000,94.694,-0.000,0.180056
1450.415,-14.053,-75.755,3.048000,92.694,-0.000,0.180056
1450.609,-14.053,-75.755,3.048000,90.694,0.000,0.180056
1450.803,-14.053,-75.755,3.048000,88.694,0.000,0.180056
1450.997,-14.053,-75.754,3.048000,86.694,-0.000,0.180056
1451.191,-14.053,-75.754,3.048000,84.694,-0.000,0.180056
1451.385,-14.053,-75.754,3.048000,82.693,0.000,0.180056
1451.578,-14.053,-75.753,3.048000,80.693,-0.000,0.180056
1451.772,-14.053,-75.753,3.048000,78.693,-0.000,0.180056
1451.966,-14.053,-75.753,3.048000,76.693,0.000,0.180056
1452.160,-14.053,-75.752,3.048000,74.693,-0.000,0.180056
1452.354,-14.053,-75.752,3.048000,72.693,-0.000,0.180056
